Asset,Target,Group,Freq,Horizon,ControlSet,Method,Type,RMSE,MAE,MAPE,R2
USD/JPY,USDJPY,B,D,21,Expert-DAG,DML,Causal,0.930839,0.6908,108099241.0594,-0.057
USD/JPY,USDJPY,B,D,21,Expert-DAG,VAR+Granger,Causal,0.90427,0.673978,6482863.7343,-0.0009
USD/JPY,USDJPY,B,D,21,Expert-DAG,IV-2SLS,Causal,0.909221,0.676007,15686979.7807,-0.0095
USD/JPY,USDJPY,B,D,1,PC-DAG,CausalImpact,Causal,1.016461,0.749162,181939068.5366,-0.2647
USD/JPY,USDJPY,B,D,1,PC-DAG,DML,Causal,0.825047,0.603427,134312622.8021,0.1687
USD/JPY,USDJPY,B,D,1,PC-DAG,VAR+Granger,Causal,0.840031,0.616486,158208278.2963,0.1362
USD/JPY,USDJPY,B,D,1,PC-DAG,IV-2SLS,Causal,0.777073,0.576504,104207840.2947,0.2617
USD/JPY,USDJPY,B,D,5,PC-DAG,CausalImpact,Causal,0.905974,0.67649,26730964.3672,-0.003
USD/JPY,USDJPY,B,D,5,PC-DAG,DML,Causal,0.927268,0.694773,77500651.0873,-0.05
USD/JPY,USDJPY,B,D,5,PC-DAG,VAR+Granger,Causal,0.889777,0.665238,43018195.1672,0.0309
USD/JPY,USDJPY,B,D,5,PC-DAG,IV-2SLS,Causal,0.907023,0.677956,56464838.8545,-0.0047
USD/JPY,USDJPY,B,D,21,PC-DAG,CausalImpact,Causal,0.90691,0.675008,16018320.7949,-0.0002
USD/JPY,USDJPY,B,D,21,PC-DAG,DML,Causal,0.929647,0.692435,121444003.801,-0.0543
USD/JPY,USDJPY,B,D,21,PC-DAG,VAR+Granger,Causal,0.90427,0.673978,6482863.7343,-0.0009
USD/JPY,USDJPY,B,D,21,PC-DAG,IV-2SLS,Causal,0.909221,0.676007,15686979.7807,-0.0095
CPI,CPI,C,ME,1,Heuristic-Z,CausalImpact,Causal,0.416626,0.308033,5990035916.2144,-0.1118
CPI,CPI,C,ME,1,Heuristic-Z,DML,Causal,0.575907,0.478871,5720885827.3281,-0.9896
CPI,CPI,C,ME,1,Heuristic-Z,VAR+Granger,Causal,0.530608,0.463785,6092161121.0178,-0.7038
CPI,CPI,C,ME,1,Heuristic-Z,IV-2SLS,Causal,0.587006,0.456418,9605130278.4387,-1.067
CPI,CPI,C,ME,3,Heuristic-Z,CausalImpact,Causal,0.433864,0.359298,2233422140.5162,-0.2602
CPI,CPI,C,ME,3,Heuristic-Z,DML,Causal,0.653209,0.492191,7819323132.3765,-1.5047
CPI,CPI,C,ME,3,Heuristic-Z,VAR+Granger,Causal,0.429007,0.328923,3949300700.2698,-0.1138
CPI,CPI,C,ME,3,Heuristic-Z,IV-2SLS,Causal,0.575474,0.490907,5110225797.4021,-0.9866
CPI,CPI,C,ME,6,Heuristic-Z,CausalImpact,Causal,0.550399,0.440152,3374145502.2958,-0.8846
CPI,CPI,C,ME,6,Heuristic-Z,DML,Causal,0.685035,0.548789,7509580296.7766,-1.7547
